업종,상호,시설주소(지번),시설주소(도로명),데이터기준일자
골프연습장업,버디스크린골프존,서울특별시 송파구 오금동 2번지 대림아파트 상가 1공구  지하1층 ,"서울특별시 송파구 위례성대로 158, 지하1층 (오금동)",2020-04-13
골프연습장업,로드훠(그린연습장),서울특별시 송파구 삼전동 28-6번지 지하1층 ,"서울특별시 송파구 백제고분로 196, 지하1층 (삼전동)",2020-04-13
골프연습장업,다담 GOLF Lounge,서울특별시 송파구 마천동 33번지 지하1층 ,"서울특별시 송파구 마천로 251, 지하1층 (마천동)",2020-04-13
골프연습장업,에이원골프아카데미,서울특별시 송파구 문정동 72-3번지 건영(아) 상가동 지층 ,"서울특별시 송파구 새말로8길 14, 지하1층 (문정동)",2020-04-13
골프연습장업,SBS골프아카데미,서울특별시 송파구 오금동 164번지 우창아파트 상가 지하1층 ,"서울특별시 송파구 동남로 272, 지하1층 (오금동)",2020-04-13
골프연습장업,극동골프,서울특별시 송파구 가락동 192번지 극동(아) 상가 지하1층 ,서울특별시 송파구 동남로18길 9 (가락동),2020-04-13
골프연습장업,JJ스크린골프존,서울특별시 송파구 거여동 31-15번지 3층 ,"서울특별시 송파구 오금로 526, 3층 (거여동)",2020-04-13
골프연습장업,삼성골프스쿨,서울특별시 송파구 문정동 77-8번지 지하1층 ,"서울특별시 송파구 새말로8길 9, 지하1층 (문정동)",2020-04-13
골프연습장업,공원골프연습장(실외),서울특별시 송파구 방이동 51-1번지 6층 ,"서울특별시 송파구 백제고분로 503, 6층 (방이동)",2020-04-13
골프연습장업,나이스골프연습장,서울특별시 송파구 송파동 97-43번지 지하1층 ,"서울특별시 송파구 송파대로38길 5, 지하1층 (송파동)",2020-04-13
골프연습장업,한길골프스쿨,서울특별시 송파구 방이동 40번지 파라다이스빌 B201호(지하2층) ,"서울특별시 송파구 올림픽로 366, 지하2층 (방이동)",2020-04-13
골프연습장업,프로탑골프센터,서울특별시 송파구 방이동 164-5번지 JS빌딩 지하1층 ,"서울특별시 송파구 위례성대로12길 18, 지하1층 (방이동)",2020-04-13
골프연습장업,오클랜드골프아카데미,서울특별시 송파구 삼전동 111-3번지 지하1층 ,"서울특별시 송파구 석촌호수로 160, 지하1층 (삼전동)",2020-04-13
골프연습장업,마크짐,서울특별시 송파구 방이동 66-2번지 지하1층 ,"서울특별시 송파구 오금로 111 (방이동, 세기빌딩)",2020-04-13
골프연습장업,준스크린골프 아카데미,서울특별시 송파구 가락동 76-2번지 지층1호 ,"서울특별시 송파구 송파대로30길 39, 지하1층 B01호 (가락동, 종원빌딩)",2020-04-13
골프연습장업,방이스크린골프,서울특별시 송파구 방이동 177-3번지 지하1층 ,"서울특별시 송파구 위례성대로 48, 지하1층 (방이동)",2020-04-13
골프연습장업,골프다이제스트아카데미,서울특별시 송파구 문정동 150-23번지 지하1층 ,"서울특별시 송파구 중대로 60-6, 지하1층 (문정동)",2020-04-13
골프연습장업,F.m골프아카데미,서울특별시 송파구 문정동 41-4번지 지하1층 ,"서울특별시 송파구 동남로4길 12, 지하1층 (문정동)",2020-04-13
골프연습장업,WPGA골프연습장,서울특별시 송파구 삼전동 9-9번지 지하1층 ,"서울특별시 송파구 백제고분로 231, 지하1층 (삼전동)",2020-04-13
골프연습장업,B.S인토스크린골프아카데미,서울특별시 송파구 가락동 70-19번지 가락대림A 상가 지하1층 ,"서울특별시 송파구 송이로 88, 지하1층 (가락동)",2020-04-13
골프연습장업,PGA스크린 골프클럽,서울특별시 송파구 문정동 97번지 지하1층 ,"서울특별시 송파구 새말로 136, 지하1층 (문정동)",2020-04-13
골프연습장업,(주)옵티멈(실내외),서울특별시 송파구 신천동 7-12번지 5~10층 ,"서울특별시 송파구 올림픽로35가길 16 (신천동, 송파 FUN STADIUM)",2020-04-13
골프연습장업,US Golf 스쿨,서울특별시 송파구 거여동 289-2번지 2층 ,"서울특별시 송파구 양산로 11, 2층 (거여동)",2020-04-13
골프연습장업,인어스휘트니스,서울특별시 송파구 잠실동 175-22번지 지하2층 ,"서울특별시 송파구 올림픽로 74, 지하2층 (잠실동)",2020-04-13
골프연습장업,JWS레저산업,서울특별시 송파구 석촌동 286-5번지 지하1층 2호 ,"서울특별시 송파구 백제고분로 364, 지하1층 (석촌동)",2020-04-13
골프연습장업,A-Top골프,서울특별시 송파구 가락동 189-13번지 ,서울특별시 송파구 동남로18길 45 (가락동),2020-04-13
골프연습장업,로얄 스크린골프,서울특별시 송파구 삼전동 1-1번지 신원빌딩 B101 ,"서울특별시 송파구 석촌호수로 130, 지하1층 (삼전동)",2020-04-13
골프연습장업,우주 스크린골프,서울특별시 송파구 잠실동 209-6번지 지하1층 ,"서울특별시 송파구 석촌호수로 92, 지하1층 (잠실동)",2020-04-13
골프연습장업,나인골프스크린,서울특별시 송파구 잠실동 222-9번지 지하1층 ,"서울특별시 송파구 백제고분로 121, 지하1층 (잠실동)",2020-04-13
골프연습장업,King's 스크린골프,서울특별시 송파구 오금동 19번지 오금대림A 상가 지하1층 ,"서울특별시 송파구 마천로7길 6, 지하1층 (오금동)",2020-04-13
골프연습장업,올림픽 스크린골프,서울특별시 송파구 오금동 89-2번지 지하1층 ,"서울특별시 송파구 중대로 306, 지하1층 (오금동)",2020-04-13
골프연습장업,골프존 송파,서울특별시 송파구 방이동 210번지 지하1층 ,서울특별시 송파구 마천로 13 (방이동),2020-04-13
골프연습장업,올림픽 골프존,서울특별시 송파구 오금동 4-14번지 지하1층 ,"서울특별시 송파구 중대로 317, 지하1층 (오금동)",2020-04-13
골프연습장업,골프존 포미나 로코코,서울특별시 송파구 잠실동 196번지 올림피아빌딩 지하2층 203호 ,"서울특별시 송파구 백제고분로 75, 지하2층 (잠실동)",2020-04-13
골프연습장업,레미안스크린골프,서울특별시 송파구 문정동 9-1번지 3층 ,"서울특별시 송파구 송이로 194 (문정동, 레미안빌딩)",2020-04-13
골프연습장업,KC 스크린골프,서울특별시 송파구 가락동 16-18번지 지하1층 ,서울특별시 송파구 양재대로66길 33 (가락동),2020-04-13
골프연습장업,골프프린스,서울특별시 송파구 송파동 19-8번지 지하1층 ,"서울특별시 송파구 백제고분로 385, 지하1층 (송파동)",2020-04-13
골프연습장업,골프존 송파스크린,서울특별시 송파구 잠실동 250번지 지하1층 ,서울특별시 송파구 백제고분로19길 4 (잠실동),2020-04-13
골프연습장업,JS스크린골프,서울특별시 송파구 가락동 189-29번지 혜성빌딩 지하1층 ,"서울특별시 송파구 동남로18길 31-1, 지하1층 (가락동)",2020-04-13
골프연습장업,송파 골프연습장,서울특별시 송파구 송파동 148-3번지 지하1층 ,"서울특별시 송파구 가락로28길 15, 지하1층 (송파동)",2020-04-13
골프연습장업,제이디골프,서울특별시 송파구 잠실동 294-21번지 지하2층 및 지하3층동 ,"서울특별시 송파구 도곡로 454 (잠실동, 정도빌딩)",2020-04-13
골프연습장업,로얄스크린골프,서울특별시 송파구 방이동 110번지 송암빌딩 지하1층동 ,"서울특별시 송파구 백제고분로 446, 지하1층 (방이동)",2020-04-13
골프연습장업,문스크린골프존,서울특별시 송파구 문정동 150-35번지 3층동 ,"서울특별시 송파구 송파대로27길 30, 3층 (문정동)",2020-04-13
골프연습장업,스타리버 유스포츠,"서울특별시 송파구 신천동 11-8번지 지하2층동 B201,B202호","서울특별시 송파구 올림픽로35길 93 (신천동, 더샵스타리버)",2020-04-13
골프연습장업,상떼스크린골프,서울특별시 송파구 가락동 80번지 성원상떼빌 상가 지하1층동 B10호,"서울특별시 송파구 송파대로28길 27, 지하1층 (가락동)",2020-04-13
골프연습장업,탑스크린골프,서울특별시 송파구 문정동 55-6번지 지하1층동 ,"서울특별시 송파구 송파대로 180, 지하1층 (문정동)",2020-04-13
골프연습장업,래미안스크린골프,서울특별시 송파구 가락동 165번지 가락래미안파크팰리스 상가동 지하1층호,"서울특별시 송파구 동남로 227, 지하1층 (가락동)",2020-04-13
골프연습장업,Golf Republic,서울특별시 송파구 송파동 93-3번지 지하1층동 ,"서울특별시 송파구 백제고분로42길 28, 지하1층 (송파동)",2020-04-13
골프연습장업,뉴레이크,서울특별시 송파구 석촌동 158-2번지 보정빌딩 지하1층동 ,"서울특별시 송파구 석촌호수로 220, 지하1층 (석촌동)",2020-04-13
골프연습장업,O2 ZONE 스포츠센타,서울특별시 송파구 방이동 227-4번지 지하4층호,서울특별시 송파구 오금로 235 (방이동),2020-04-13
골프연습장업,퀸스크린골프,서울특별시 송파구 오금동 17-8번지 대경빌딩 지하1층동 ,"서울특별시 송파구 마천로 53, 지하1층 (오금동)",2020-04-13
골프연습장업,잠실스크린골프2호점,서울특별시 송파구 잠실동 195-10번지 승현빌딩 지하1층동 ,"서울특별시 송파구 백제고분로7길 8-12, 지하1층 (잠실동)",2020-04-13
골프연습장업,스타칼리 휘트니스,서울특별시 송파구 가락동 8번지 지하 1층 ,"서울특별시 송파구 오금로 306, 지하1층 (가락동)",2020-04-13
골프연습장업,가윤스크린골프,서울특별시 송파구 가락동 124-21번지 5층 ,"서울특별시 송파구 송이로 157 (가락동, 가윤웨딩뷔페)",2020-04-13
골프연습장업,FEEL 스크린골프,서울특별시 송파구 송파동 121번지 한양(아)상가 1층 ,"서울특별시 송파구 가락로 183, 1층 (송파동)",2020-04-13
골프연습장업,신천 스크린골프,서울특별시 송파구 잠실동 208-1번지 지하1층 ,"서울특별시 송파구 백제고분로17길 56, 지하1층 (잠실동)",2020-04-13
골프연습장업,알파고 골프존 방이점,서울특별시 송파구 방이동 39-2번지 신동아타워 2층 ,"서울특별시 송파구 오금로11길 33, 2층 (방이동)",2020-04-13
골프연습장업,엠파이어 휘트니스,서울특별시 송파구 잠실동 35-1번지 영동일고 ,서울특별시 송파구 석촌호수로 93 (잠실동),2020-04-13
골프연습장업,파크리오 스크린,서울특별시 송파구 신천동 17-4번지 파크리오아파트 상가 A동 312호 ,"서울특별시 송파구 올림픽로 435, 3층 (신천동)",2020-04-13
골프연습장업,아우디스크린골프존,서울특별시 송파구 잠실동 175-6번지 지하1층 ,"서울특별시 송파구 올림픽로 76, 지하1층 (잠실동)",2020-04-13
골프연습장업,LA 골프교실,서울특별시 송파구 잠실동 27번지 잠실5단지아파트 501동 309호,서울특별시 송파구 송파대로 567 (잠실동),2020-04-13
골프연습장업,골프존 평화의문 스크린골프,서울특별시 송파구 방이동 40-3번지 지하1층 ,"서울특별시 송파구 올림픽로 374, 지하1층 (방이동)",2020-04-13
골프연습장업,J 스크린골프존,서울특별시 송파구 잠실동 27-6번지 잠실5단지아파트 중앙상가 지하5-1 ,"서울특별시 송파구 올림픽로 203, 지하1층 (잠실동)",2020-04-13
골프연습장업,Y골프아카데미,서울특별시 송파구 잠실동 228-8번지 극동빌딩 B동 지하101호 ,서울특별시 송파구 백제고분로 139 (잠실동),2020-04-13
골프연습장업,TK 휘트니스 앤 컴퍼니,서울특별시 송파구 가락동 98-7번지 지하2층 ,"서울특별시 송파구 송파대로28길 13 (가락동, 거북이빌딩)",2020-04-13
골프연습장업,원탑스크린골프,서울특별시 송파구 오금동 113-3번지 지하1층 ,"서울특별시 송파구 문정로 259, 지하1층 (오금동)",2020-04-13
골프연습장업,NC 골프연습장,서울특별시 송파구 문정동 73-1번지 지하2층 ,"서울특별시 송파구 새말로8길 20, 지하2층 (문정동)",2020-04-13
골프연습장업,에스비 짐,서울특별시 송파구 가락동 78번지 아이티벤처타워 지하1층 ,"서울특별시 송파구 중대로 135 (가락동, 아이티벤처타워)",2020-04-13
골프연습장업,캡틴골프아카데미,서울특별시 송파구 가락동 73-3번지 지하1층 ,"서울특별시 송파구 송이로 108 (가락동, KR 타워)",2020-04-13
골프연습장업,버디스크린골프,서울특별시 송파구 석촌동 175-10번지 지하1층 ,서울특별시 송파구 송파대로45길 3-24 (석촌동),2020-04-13
골프연습장업,국민휘트니스-주,서울특별시 송파구 마천동 181번지 지하1층 ,"서울특별시 송파구 마천로 315 (마천동, 현대그린빌)",2020-04-13
골프연습장업,G&G스크린골프존,서울특별시 송파구 가락동 113번지 지하1층 ,"서울특별시 송파구 중대로12길 6, 지하1층 (가락동)",2020-04-13
골프연습장업,다인골프클럽,서울특별시 송파구 오금동 17-11번지 지하1층 ,"서울특별시 송파구 위례성대로20길 32 (오금동, 명현빌딩)",2020-04-13
골프연습장업,OK 스크린골프,서울특별시 송파구 가락동 191-5번지 ,서울특별시 송파구 동남로20길 24 (가락동),2020-04-13
골프연습장업,KPGA골프아카데미,서울특별시 송파구 송파동 163-20번지 지하1층 ,"서울특별시 송파구 오금로32길 28, 지하1층 (송파동)",2020-04-13
골프연습장업,스포존,서울특별시 송파구 문정동 289번지 가든파이브웍스 지하1층 ,"서울특별시 송파구 충민로 52, 지하1층 (문정동)",2020-04-13
골프연습장업,탑스크린골프존,서울특별시 송파구 가락동 123번지 백암빌딩 지하1층 ,"서울특별시 송파구 중대로 지하 150 (가락동, 백암빌딩)",2020-04-13
골프연습장업,가락스포렉스,서울특별시 송파구 가락동 600번지 가락농수산물시장 청과동 3층 911-1호 ,"서울특별시 송파구 양재대로 932, 3층 (가락동, 가락시장 청과동)",2020-04-13
골프연습장업,정광수골프연습장,서울특별시 송파구 가락동 188-8번지 지하1층 ,"서울특별시 송파구 문정로11길 24, 지하1층 (가락동)",2020-04-13
골프연습장업,하버드골프연습장,서울특별시 송파구 석촌동 226-16번지 지하1층 ,"서울특별시 송파구 가락로 23, 지하1층 (석촌동)",2020-04-13
골프연습장업,비젼9,서울특별시 송파구 방이동 34-2번지 지하102호 ,"서울특별시 송파구 오금로11길 11-8 (방이동, 현대드림밸리)",2020-04-13
골프연습장업,스타골프,서울특별시 송파구 문정동 97-4번지 지하1층 ,서울특별시 송파구 새말로 142 (문정동),2020-04-13
골프연습장업,위더스 스포츠,서울특별시 송파구 송파동 163-19번지 지하1층 ,"서울특별시 송파구 오금로32길 30, 지하1층 (송파동)",2020-04-13
골프연습장업,골프홀릭 석촌호수점,서울특별시 송파구 석촌동 1-1번지 지하2층 ,서울특별시 송파구 석촌호수로 188 (석촌동),2020-04-13
골프연습장업,모비딕스크린골프(잠실),서울특별시 송파구 방이동 24-5번지 지하1층 ,"서울특별시 송파구 오금로11길 7, 지하1층층 (방이동)",2020-04-13
골프연습장업,IT골프존,서울특별시 송파구 가락동 78번지 IT벤처타워 지하1층 B 102호,"서울특별시 송파구 중대로 135, B 102호 (가락동, 아이티벤처타워)",2020-04-13
골프연습장업,메이저골프클럽,서울특별시 송파구 문정동 150번지 지하1층 ,"서울특별시 송파구 중대로 24, 지하1층 (문정동)",2020-04-13
골프연습장업,스카이스크린골프,서울특별시 송파구 잠실동 175-9번지 B1호,"서울특별시 송파구 올림픽로 82, B1호 (잠실동)",2020-04-13
골프연습장업,잠실 골프러버,서울특별시 송파구 신천동 7번지 장미상가 B동 502호,"서울특별시 송파구 올림픽로35길 104, B동 502호 (신천동, 장미상가)",2020-04-13
골프연습장업,원 골프아카데미,"서울특별시 송파구 삼전동 133-6번지 지하1,2층 ","서울특별시 송파구 백제고분로 263, 지하1,2층 (삼전동)",2020-04-13
골프연습장업,임팩트골프연습장,서울특별시 송파구 가락동 41-3번지 ,서울특별시 송파구 오금로36길 50 (가락동),2020-04-13
골프연습장업,스카이골프,서울특별시 송파구 문정동 121-7번지 ,서울특별시 송파구 송이로31길 6 (문정동),2020-04-13
골프연습장업,석촌 핑클 스크린골프장,서울특별시 송파구 석촌동 180번지 ,"서울특별시 송파구 백제고분로39길 30 (석촌동, 성화빌딩)",2020-04-13
골프연습장업,(주)오케이골프,서울특별시 송파구 잠실동 40-1번지 롯데월드 웰빙관 8층 ,"서울특별시 송파구 올림픽로 240 (잠실동, 롯데월드)",2020-04-13
골프연습장업,골프랜드,서울특별시 송파구 잠실동 329번지 지층 ,"서울특별시 송파구 백제고분로18길 25, 지층 (잠실동)",2020-04-13
골프연습장업,문정U골프아카데미,,"서울특별시 송파구 송파대로16길 3, 지하1층 (문정동, 에이스빌딩)",2020-04-13
골프연습장업,투엑스골프앤휘트니스,,"서울특별시 송파구 올림픽로 119, 지하2층 B201호 (잠실동, 잠실파인애플상가)",2020-04-13
골프연습장업,SG스크린골프가락점,,"서울특별시 송파구 양재대로62길 21-1, 지하1층 (가락동, 범창빌딩)",2020-04-13
골프연습장업,파크하비오휘트니스&골프,,"서울특별시 송파구 송파대로 111, 하비오길 중앙로 202동 202, B01호 (문정동, 파크하비오)",2020-04-13
골프연습장업,잠실피트니스,서울특별시 송파구 신천동 7-17번지 ,"서울특별시 송파구 송파대로 562, 지하1층 (신천동, 한빛프라자,삼성웰리스아파트)",2020-04-13
골프연습장업,주식회사 이룸골프아카데미,서울특별시 송파구 삼전동 111번지 ,"서울특별시 송파구 석촌호수로 156, 지하층 (삼전동, 삼전동썬프라자)",2020-04-13
골프연습장업,한양골프,서울특별시 송파구 송파동 121번지 ,"서울특별시 송파구 가락로 183, 상가동 2층층 46,50~55호호 (송파동, 한양아파트)",2020-04-13
골프연습장업,가락투엑스골프,,"서울특별시 송파구 중대로 135 (가락동, 아이티벤처타워)",2020-04-13
골프연습장업,JM스크린골프,서울특별시 송파구 마천동 602-1번지 ,"서울특별시 송파구 성내천로47길 23, 3층 (마천동, 경진빌딩)",2020-04-13
골프연습장업,모비딕스크린골프,서울특별시 송파구 거여동 42-3번지 ,"서울특별시 송파구 거마로 14 (거여동, 청송빌딩)",2020-04-13
골프연습장업,더벙커,서울특별시 송파구 방이동 186-8번지 ,서울특별시 송파구 양재대로71길 8 (방이동),2020-04-13
골프연습장업,더 클래스 골프 스튜디오,서울특별시 송파구 가락동 75-9번지 규현빌딩 ,"서울특별시 송파구 양재대로62길 33, 2층 (가락동)",2020-04-13
골프연습장업,프라이빗 골프아카데미,서울특별시 송파구 석촌동 1-6번지 레이크캐슬 ,"서울특별시 송파구 송파대로49길 64, 레이크캐슬 지1층 (석촌동)",2020-04-13
골프연습장업,스핀볼링센터 가든5,서울특별시 송파구 문정동 632번지 가든파이브웍스 ,"서울특별시 송파구 충민로 52, 가든파이브웍스 지하1층 (문정동)",2020-04-13
골프연습장업,골프존GDR아카데미,서울특별시 송파구 문정동 644-2번지 문정현대지식산업센터1-2 ,"서울특별시 송파구 법원로11길 7, 문정현대지식산업센터1-2 지하2층 (문정동)",2020-04-13
골프연습장업,제임스짐JS,서울특별시 송파구 잠실동 101-1번지 우성아파트 ,"서울특별시 송파구 올림픽로4길 48, 프리마쇼핑센터 (잠실동)",2020-04-13
골프연습장업,문정역 테라스크린골프,서울특별시 송파구 문정동 642번지 송파 테라타워2 ,"서울특별시 송파구 송파대로 201, 송파 테라타워2 (문정동)",2020-04-13
골프연습장업,키움골프GDR아카데미 문정점,서울특별시 송파구 문정동 652-4번지 힐스테이트에코문정 ,"서울특별시 송파구 법원로4길 10, 힐스테이트에코문정 (문정동)",2020-04-13
골프연습장업,행복골프훈련소 잠실점,서울특별시 송파구 신천동 11-4번지 잠실 푸르지오 월드마크 ,"서울특별시 송파구 올림픽로35가길 9 (신천동, 잠실 푸르지오 월드마크)",2020-04-13
골프연습장업,아트골프 아카데미,서울특별시 송파구 문정동 642-3번지 문정에스케이브이원지엘메트로시티 ,"서울특별시 송파구 법원로 128, 문정에스케이브이원지엘메트로시티 지하1층 (문정동)",2020-04-13
골프연습장업,엠클럽 골프,서울특별시 송파구 석촌동 277번지 ,"서울특별시 송파구 가락로 99, 지하동 1층 1호 (석촌동)",2020-04-13
골프연습장업,스포웰짐 골프존 GDR 아카데미,서울특별시 송파구 가락동 98-7번지 거북이빌딩 ,"서울특별시 송파구 송파대로28길 13, 거북이빌딩 지하2층 (가락동)",2020-04-13
골프연습장업,티박스(TBOX),서울특별시 송파구 가락동 147-2번지 가락동 주상복합 ,"서울특별시 송파구 중대로 174 (가락동, 가락동 주상복합)",2020-04-13
골프연습장업,KS골프트레이닝센터,서울특별시 송파구 석촌동 52-9번지 ,서울특별시 송파구 송파대로49길 37 (석촌동),2020-04-13
체력단련장업,바디웍,서울특별시 송파구 가락동 2-8번지 ,서울특별시 송파구 오금로 300 (가락동),2020-04-13
체력단련장업,진웅육체미체육관,서울특별시 송파구 거여동 37-8번지 ,,2020-04-13
체력단련장업,비타민,서울특별시 송파구 석촌동 210번지 3층 ,"서울특별시 송파구 백제고분로 276, 3층 (석촌동)",2020-04-13
체력단련장업,퀸헬스클럽,서울특별시 송파구 풍납동 399-0번지 ,"서울특별시 송파구 올림픽로47길 19 (풍납동, 오성빌딩)",2020-04-13
체력단련장업,바디웍,서울특별시 송파구 오금동 18-11번지 ,서울특별시 송파구 마천로 61 (오금동),2020-04-13
체력단련장업,풍납 헬스,,"서울특별시 송파구 풍성로 65, 3층 301호 (풍납동)",2020-04-13
체력단련장업,스포애니 문정점 2호점,서울특별시 송파구 문정동 41-5번지 ,서울특별시 송파구 동남로4길 10 (문정동),2020-04-13
체력단련장업,골든짐,서울특별시 송파구 석촌동 273-5번지 ,서울특별시 송파구 가락로 94 (석촌동),2020-04-13
체력단련장업,정락신용협동조합,서울특별시 송파구 문정동 41-5번지 ,서울특별시 송파구 동남로4길 10 (문정동),2020-04-13
체력단련장업,밀레니엄 파워헬스,서울특별시 송파구 가락동 70-0번지 ,서울특별시 송파구 중대로9길 53 (가락동),2020-04-13
체력단련장업,제임스짐JS점,서울특별시 송파구 잠실동 101-1번지 우성상가지하1층 ,"서울특별시 송파구 올림픽로4길 48, 지하1층 (잠실동)",2020-04-13
체력단련장업,올림픽헬스교실,서울특별시 송파구 방이동 88-2번지 ,서울특별시 송파구 올림픽로 424 (방이동),2020-04-13
체력단련장업,Mount Gym,서울특별시 송파구 거여동 293-1번지 ,서울특별시 송파구 양산로 12 (거여동),2020-04-13
체력단련장업,가락휘트니스센터,서울특별시 송파구 가락동 97-8번지 2층 ,"서울특별시 송파구 송파대로30길 11, 2층 (가락동)",2020-04-13
체력단련장업,B&H휘트니스클럽,서울특별시 송파구 가락동 137-3번지 ,서울특별시 송파구 동남로 161 (가락동),2020-04-13
체력단련장업,현민헬스클럽,서울특별시 송파구 가락동 189-13번지 ,"서울특별시 송파구 동남로18길 45 (가락동, 용진빌딩)",2020-04-13
체력단련장업,다이나포스 휘트니스크럽,서울특별시 송파구 방이동 65-6번지 ,서울특별시 송파구 오금로 95 (방이동),2020-04-13
체력단련장업,짐스휘트니스,서울특별시 송파구 송파동 103-2번지 3.4층 ,"서울특별시 송파구 가락로 168 (송파동, 부성빌딩)",2020-04-13
체력단련장업,한성기업(주)르네상스휘트니스클럽,서울특별시 송파구 오금동 45-0번지 ,서울특별시 송파구 오금로 307 (오금동),2020-04-13
체력단련장업,슈나이더 짐,"서울특별시 송파구 문정동 29-24번지 3,4층 ",서울특별시 송파구 동남로 110 (문정동),2020-04-13
체력단련장업,스포애니 문정점,"서울특별시 송파구 가락동 108번지 지상3,4층 ","서울특별시 송파구 동남로 119 (가락동, 삼광빌딩)",2020-04-13
체력단련장업,재단법인국민체력센터,서울특별시 송파구 방이동 88-2번지 ,서울특별시 송파구 올림픽로 424 (방이동),2020-04-13
체력단련장업,국민휘트니스(주),서울특별시 송파구 마천동 181번지 아울렛코리아라이프상가 지하1층 ,"서울특별시 송파구 마천로 315 (마천동, 현대그린빌)",2020-04-13
체력단련장업,백세청춘,서울특별시 송파구 신천동 7번지 장미아파트 비상가 ,"서울특별시 송파구 올림픽로35길 112, 장미아파트 비상가 5층 (신천동)",2020-04-13
체력단련장업,우정휘트니스클럽,서울특별시 송파구 거여동 36-4번지 ,서울특별시 송파구 오금로 519 (거여동),2020-04-13
체력단련장업,웹바디,서울특별시 송파구 잠실동 193-2번지 ,"서울특별시 송파구 올림픽로8길 23 (잠실동, 보현빌딩)",2020-04-13
체력단련장업,올림픽파크텔 체력단련장,서울특별시 송파구 방이동 88-8번지 ,서울특별시 송파구 올림픽로 448 (방이동),2020-04-13
체력단련장업,H휘트니스,서울특별시 송파구 송파동 122-5번지 송파빌딩 2층 ,"서울특별시 송파구 가락로 171, 2층 (송파동)",2020-04-13
체력단련장업,짐퍼스트 휘트니스,서울특별시 송파구 풍납동 402-4번지 4층 ,"서울특별시 송파구 토성로 78 (풍납동, 정민빌딩)",2020-04-13
체력단련장업,비엔비 헬스,서울특별시 송파구 마천동 32번지 ,서울특별시 송파구 마천로 238 (마천동),2020-04-13
체력단련장업,롯데호텔 휘트니스센터,서울특별시 송파구 잠실동 40-1번지 ,"서울특별시 송파구 올림픽로 240 (잠실동, 롯데월드)",2020-04-13
체력단련장업,주식회사 스포애니잠실점,"서울특별시 송파구 삼전동 130-5번지 인터불고 6,7층 ","서울특별시 송파구 삼학사로 99, 6,7층 (삼전동, 인터불고)",2020-04-13
체력단련장업,커브스문정클럽,"서울특별시 송파구 문정동 150번지 올림픽훼밀리타운상가 1동2층 209, 210호 ","서울특별시 송파구 중대로 24, 2층 (문정동)",2020-04-13
체력단련장업,더드림 피트니스,서울특별시 송파구 송파동 8-2번지 신천빌딩 2층 ,"서울특별시 송파구 백제고분로41길 43-5, 신천빌딩 2층 (송파동)",2020-04-13
체력단련장업,(주)옵티멈,서울특별시 송파구 신천동 7-12번지 5층 ,"서울특별시 송파구 올림픽로35가길 16 (신천동, 송파 FUN STADIUM)",2020-04-13
체력단련장업,머슬팩토리,서울특별시 송파구 문정동 70-9번지 2층 ,"서울특별시 송파구 새말로 109, 2층 (문정동)",2020-04-13
체력단련장업,(주)잠실투엑스휘트니스,"서울특별시 송파구 가락동 80번지 송파성원쌍떼빌 B01, B04 ","서울특별시 송파구 송파대로28길 27 (가락동, 송파성원쌍떼빌)",2020-04-13
체력단련장업,명품휘트니스클럽,서울특별시 송파구 방이동 103-15번지 2층 ,"서울특별시 송파구 올림픽로32길 53, 2층 (방이동)",2020-04-13
체력단련장업,크로스핏거여 앤 탑스포츠클럽,서울특별시 송파구 거여동 27-4번지 6층 ,"서울특별시 송파구 오금로 508 (거여동, 스타빌딩)",2020-04-13
체력단련장업,커브스오금클럽,서울특별시 송파구 오금동 17-8번지 2층 ,"서울특별시 송파구 마천로 53, 2층 (오금동)",2020-04-13
체력단련장업,인어스휘트니스,서울특별시 송파구 잠실동 175-22번지 월드메르디앙 지하2층동 ,"서울특별시 송파구 올림픽로 74 (잠실동, 잠실월드메르디앙)",2020-04-13
체력단련장업,O2 ZONE 스포츠센타,서울특별시 송파구 방이동 227-4번지 지하3층동 ,"서울특별시 송파구 오금로 235, 지하3층 (방이동)",2020-04-13
체력단련장업,스카이 휘트니스,서울특별시 송파구 가락동 167-3번지 4층동 ,"서울특별시 송파구 오금로 410, 4층 (가락동)",2020-04-13
체력단련장업,스타칼리 휘니스트,서울특별시 송파구 가락동 8번지 지하 1층 ,"서울특별시 송파구 오금로 306, 지하1층 (가락동)",2020-04-13
체력단련장업,엠파이어 휘트니스,서울특별시 송파구 잠실동 35-1번지 영동일고 ,"서울특별시 송파구 석촌호수로 93 (잠실동, 영동일고등학교)",2020-04-13
체력단련장업,피트니스비엠,서울특별시 송파구 잠실동 175-6번지 12층 ,"서울특별시 송파구 올림픽로 76, 12층 1201,1202호 (잠실동, J타워)",2020-04-13
체력단련장업,노블휘트니스,서울특별시 송파구 신천동 20-6번지 파크리오  B상가 3층 ,"서울특별시 송파구 올림픽로 435 (신천동, 파크리오)",2020-04-13
체력단련장업,TK 휘트니스 앤 컴퍼니,서울특별시 송파구 가락동 98-7번지 지하2층 ,"서울특별시 송파구 송파대로28길 13 (가락동, 거북이빌딩)",2020-04-13
체력단련장업,NC 휘트니스,서울특별시 송파구 문정동 73-1번지 ,서울특별시 송파구 새말로8길 20 (문정동),2020-04-13
체력단련장업,에스비 짐,서울특별시 송파구 가락동 78번지 아이티벤처타워 지하1층 ,"서울특별시 송파구 중대로 135 (가락동, 아이티벤처타워)",2020-04-13
